code10,univtxt
1005550010,旭川医大 医  前
1005550020,旭川医大 医  後
1005550110,旭川医大 医 医 前
1005550210,旭川医大 医 看護 前
1005550220,旭川医大 医 看護 後
1010200010,小樽商大 商  前
1010200020,小樽商大 商  後
1010240010,小樽商大 商夜  前
1130030010,お茶の水女子大 文教育  前
1130030020,お茶の水女子大 文教育  後
1130031210,お茶の水女子大 文教育 人文科学 前
1130031220,お茶の水女子大 文教育 人文科学 後
1130031310,お茶の水女子大 文教育 言語文化 前
1130031410,お茶の水女子大 文教育 人間社会科学 前
1130031420,お茶の水女子大 文教育 人間社会科学 後
1130031610,お茶の水女子大 文教育 芸術／舞踊教 前
1130031710,お茶の水女子大 文教育 芸術／音楽表 前
1130031720,お茶の水女子大 文教育 芸術／音楽表 後
1130031810,お茶の水女子大 文教育 人間／教・子 前
1130031820,お茶の水女子大 文教育 人間／教・子 後
1130420010,お茶の水女子大 理  前
1130420020,お茶の水女子大 理  後
1130420110,お茶の水女子大 理 化学 前
1130420120,お茶の水女子大 理 化学 後
1130420210,お茶の水女子大 理 情報科学 前
1130420220,お茶の水女子大 理 情報科学 後
1130420310,お茶の水女子大 理 数学 前
1130420320,お茶の水女子大 理 数学 後
1130420410,お茶の水女子大 理 生物 前
1130420420,お茶の水女子大 理 生物 後
1130420510,お茶の水女子大 理 物理 前
1130420520,お茶の水女子大 理 物理 後
1130470010,お茶の水女子大 共創工  前
1130470020,お茶の水女子大 共創工  後
1130470110,お茶の水女子大 共創工 人間環境工 前
1130470120,お茶の水女子大 共創工 人間環境工 後
1130470210,お茶の水女子大 共創工 文化情報工 前
1130790010,お茶の水女子大 生活科学  前
1130790020,お茶の水女子大 生活科学  後
1130790210,お茶の水女子大 生活科学 人間生活 前
1130790310,お茶の水女子大 生活科学 食物栄養 前
1130790320,お茶の水女子大 生活科学 食物栄養 後
1130790510,お茶の水女子大 生活科学 心理 前
1015740010,帯広畜産大 畜産  前
1015740020,帯広畜産大 畜産  後
1015740510,帯広畜産大 畜産 畜産科学 前
1015740520,帯広畜産大 畜産 畜産科学 後
1015740610,帯広畜産大 畜産 共同獣医学 前
